town,block,street_name,flat_model,lease_commence_date,flat_type,storey_range
ANG MO KIO,406,ANG MO KIO AVE 10,Improved,1979,2 ROOM,10 TO 12
ANG MO KIO,108,ANG MO KIO AVE 4,New Generation,1978,3 ROOM,01 TO 03
ANG MO KIO,602,ANG MO KIO AVE 5,New Generation,1980,3 ROOM,01 TO 03
ANG MO KIO,465,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,04 TO 06
ANG MO KIO,601,ANG MO KIO AVE 5,New Generation,1980,3 ROOM,01 TO 03
ANG MO KIO,150,ANG MO KIO AVE 5,New Generation,1981,3 ROOM,01 TO 03
ANG MO KIO,447,ANG MO KIO AVE 10,New Generation,1979,3 ROOM,04 TO 06
ANG MO KIO,218,ANG MO KIO AVE 1,New Generation,1976,3 ROOM,04 TO 06
ANG MO KIO,571,ANG MO KIO AVE 3,New Generation,1979,3 ROOM,01 TO 03
ANG MO KIO,534,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,01 TO 03
ANG MO KIO,233,ANG MO KIO AVE 3,New Generation,1977,3 ROOM,10 TO 12
ANG MO KIO,235,ANG MO KIO AVE 3,New Generation,1977,3 ROOM,04 TO 06
ANG MO KIO,219,ANG MO KIO AVE 1,New Generation,1977,3 ROOM,07 TO 09
ANG MO KIO,536,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,07 TO 09
ANG MO KIO,230,ANG MO KIO AVE 3,New Generation,1978,3 ROOM,04 TO 06
ANG MO KIO,570,ANG MO KIO AVE 3,New Generation,1979,3 ROOM,10 TO 12
ANG MO KIO,624,ANG MO KIO AVE 4,New Generation,1980,3 ROOM,04 TO 06
ANG MO KIO,441,ANG MO KIO AVE 10,New Generation,1979,3 ROOM,07 TO 09
ANG MO KIO,625,ANG MO KIO AVE 9,New Generation,1980,3 ROOM,04 TO 06
ANG MO KIO,119,ANG MO KIO AVE 3,New Generation,1978,3 ROOM,07 TO 09
ANG MO KIO,255,ANG MO KIO AVE 4,New Generation,1977,3 ROOM,04 TO 06
ANG MO KIO,432,ANG MO KIO AVE 10,New Generation,1979,3 ROOM,10 TO 12
ANG MO KIO,211,ANG MO KIO AVE 3,New Generation,1977,3 ROOM,01 TO 03
ANG MO KIO,584,ANG MO KIO AVE 3,New Generation,1979,3 ROOM,04 TO 06
ANG MO KIO,118,ANG MO KIO AVE 4,New Generation,1978,3 ROOM,07 TO 09
ANG MO KIO,333,ANG MO KIO AVE 1,New Generation,1981,3 ROOM,07 TO 09
ANG MO KIO,256,ANG MO KIO AVE 4,New Generation,1977,3 ROOM,10 TO 12
ANG MO KIO,330,ANG MO KIO AVE 1,New Generation,1981,3 ROOM,07 TO 09
ANG MO KIO,557,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,10 TO 12
ANG MO KIO,302,ANG MO KIO AVE 3,New Generation,1978,3 ROOM,10 TO 12
ANG MO KIO,575,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,07 TO 09
ANG MO KIO,509,ANG MO KIO AVE 8,New Generation,1980,3 ROOM,01 TO 03
ANG MO KIO,472,ANG MO KIO AVE 10,New Generation,1979,4 ROOM,10 TO 12
ANG MO KIO,475,ANG MO KIO AVE 10,New Generation,1979,4 ROOM,07 TO 09
ANG MO KIO,629,ANG MO KIO AVE 4,New Generation,1981,4 ROOM,01 TO 03
ANG MO KIO,546,ANG MO KIO AVE 10,New Generation,1981,4 ROOM,01 TO 03
ANG MO KIO,131,ANG MO KIO AVE 3,New Generation,1979,4 ROOM,01 TO 03
ANG MO KIO,254,ANG MO KIO AVE 4,New Generation,1977,4 ROOM,04 TO 06
ANG MO KIO,470,ANG MO KIO AVE 10,New Generation,1979,4 ROOM,04 TO 06
ANG MO KIO,601,ANG MO KIO AVE 5,New Generation,1980,4 ROOM,04 TO 06
ANG MO KIO,463,ANG MO KIO AVE 10,New Generation,1980,4 ROOM,04 TO 06
ANG MO KIO,207,ANG MO KIO AVE 1,New Generation,1976,4 ROOM,04 TO 06
ANG MO KIO,304,ANG MO KIO AVE 1,New Generation,1977,4 ROOM,10 TO 12
ANG MO KIO,646,ANG MO KIO AVE 6,New Generation,1980,4 ROOM,10 TO 12
ANG MO KIO,328,ANG MO KIO AVE 3,New Generation,1978,4 ROOM,10 TO 12
ANG MO KIO,588C,ANG MO KIO ST 52,DBSS,2011,4 ROOM,13 TO 15
ANG MO KIO,588D,ANG MO KIO ST 52,DBSS,2011,4 ROOM,19 TO 21
ANG MO KIO,588D,ANG MO KIO ST 52,DBSS,2011,4 ROOM,22 TO 24
ANG MO KIO,101,ANG MO KIO AVE 3,Standard,1978,5 ROOM,01 TO 03
ANG MO KIO,430,ANG MO KIO AVE 3,Improved,1979,5 ROOM,13 TO 15
ANG MO KIO,520,ANG MO KIO AVE 5,Improved,1980,5 ROOM,19 TO 21
ANG MO KIO,716,ANG MO KIO AVE 6,Improved,1980,5 ROOM,13 TO 15
ANG MO KIO,588A,ANG MO KIO ST 52,DBSS,2011,5 ROOM,10 TO 12
ANG MO KIO,310A,ANG MO KIO AVE 1,Improved,2012,5 ROOM,10 TO 12
ANG MO KIO,613,ANG MO KIO AVE 4,Apartment,1996,EXECUTIVE,07 TO 09
BEDOK,101,BEDOK NTH AVE 4,Improved,1978,2 ROOM,04 TO 06
BEDOK,548,BEDOK NTH AVE 1,New Generation,1980,3 ROOM,04 TO 06
BEDOK,75,BEDOK NTH RD,Improved,1978,3 ROOM,07 TO 09
BEDOK,550,BEDOK NTH AVE 1,New Generation,1980,3 ROOM,01 TO 03
BEDOK,1,BEDOK STH AVE 1,Improved,1976,3 ROOM,01 TO 03
BEDOK,151,BEDOK RESERVOIR RD,Simplified,1988,3 ROOM,04 TO 06
BEDOK,54,CHAI CHEE ST,New Generation,1981,3 ROOM,04 TO 06
BEDOK,50,CHAI CHEE ST,New Generation,1981,3 ROOM,04 TO 06
BEDOK,105,BEDOK RESERVOIR RD,New Generation,1985,3 ROOM,10 TO 12
BEDOK,528,BEDOK NTH ST 3,New Generation,1979,3 ROOM,13 TO 15
BEDOK,534,BEDOK NTH ST 3,Improved,1986,3 ROOM,10 TO 12
BEDOK,550,BEDOK NTH AVE 1,New Generation,1980,3 ROOM,04 TO 06
BEDOK,77,BEDOK NTH RD,Improved,1986,3 ROOM,10 TO 12
BEDOK,116,BEDOK RESERVOIR RD,New Generation,1986,3 ROOM,10 TO 12
BEDOK,18,BEDOK STH RD,Improved,1976,3 ROOM,13 TO 15
BEDOK,40,CHAI CHEE AVE,Improved,1974,3 ROOM,07 TO 09
BEDOK,57,NEW UPP CHANGI RD,Improved,1985,3 ROOM,13 TO 15
BEDOK,57,NEW UPP CHANGI RD,Improved,1985,3 ROOM,07 TO 09
BEDOK,105,BEDOK NTH AVE 4,New Generation,1977,3 ROOM,04 TO 06
BEDOK,709,BEDOK RESERVOIR RD,New Generation,1981,3 ROOM,07 TO 09
BEDOK,42,CHAI CHEE ST,New Generation,1985,3 ROOM,01 TO 03
BEDOK,55,CHAI CHEE DR,Model A,1984,3 ROOM,04 TO 06
BEDOK,2,BEDOK STH AVE 1,Improved,1976,3 ROOM,10 TO 12
BEDOK,37,CHAI CHEE AVE,Improved,1983,3 ROOM,04 TO 06
BEDOK,425,BEDOK NTH RD,New Generation,1979,3 ROOM,10 TO 12
BEDOK,117,BEDOK NTH RD,New Generation,1978,3 ROOM,04 TO 06
BEDOK,423,BEDOK NTH AVE 1,New Generation,1979,3 ROOM,10 TO 12
BEDOK,533,BEDOK NTH ST 3,New Generation,1980,3 ROOM,04 TO 06
BEDOK,149,BEDOK RESERVOIR RD,Simplified,1987,4 ROOM,04 TO 06
BEDOK,35,BEDOK STH AVE 2,Improved,1977,4 ROOM,13 TO 15
BEDOK,42,BEDOK STH RD,Improved,1977,4 ROOM,04 TO 06
BEDOK,34,BEDOK STH AVE 2,Improved,1977,4 ROOM,10 TO 12
BEDOK,7,BEDOK STH AVE 2,Improved,1976,4 ROOM,04 TO 06
BEDOK,8,BEDOK STH AVE 2,Improved,1976,4 ROOM,13 TO 15
BEDOK,80,BEDOK NTH RD,New Generation,1978,4 ROOM,01 TO 03
BEDOK,78,BEDOK NTH RD,New Generation,1978,4 ROOM,04 TO 06
BEDOK,135,BEDOK RESERVOIR RD,Simplified,1987,4 ROOM,07 TO 09
BEDOK,148,BEDOK RESERVOIR RD,Simplified,1987,4 ROOM,13 TO 15
BEDOK,81,BEDOK NTH RD,New Generation,1978,4 ROOM,01 TO 03
BEDOK,142,BEDOK RESERVOIR RD,Simplified,1986,4 ROOM,07 TO 09
BEDOK,124,BEDOK NTH RD,New Generation,1978,4 ROOM,07 TO 09
BEDOK,705,BEDOK NTH RD,New Generation,1980,4 ROOM,01 TO 03
BEDOK,554,BEDOK NTH ST 3,New Generation,1980,4 ROOM,04 TO 06
BEDOK,602,BEDOK RESERVOIR RD,New Generation,1982,4 ROOM,07 TO 09
BEDOK,81,BEDOK NTH RD,New Generation,1978,4 ROOM,13 TO 15
BEDOK,508,BEDOK NTH AVE 3,New Generation,1978,4 ROOM,10 TO 12
BEDOK,720,BEDOK RESERVOIR RD,Model A,1984,4 ROOM,04 TO 06
BEDOK,765,BEDOK RESERVOIR VIEW,Premium Apartment,2000,4 ROOM,04 TO 06
BEDOK,10,CHAI CHEE RD,Model A,2001,4 ROOM,13 TO 15
BEDOK,185,BEDOK NTH RD,Model A,2005,4 ROOM,07 TO 09
BEDOK,111,LENGKONG TIGA,Model A,1989,4 ROOM,04 TO 06
BEDOK,220B,BEDOK CTRL,Model A,2010,4 ROOM,10 TO 12
BEDOK,603,BEDOK RESERVOIR RD,Improved,1982,5 ROOM,01 TO 03
BEDOK,21,CHAI CHEE RD,Adjoined flat,1972,5 ROOM,07 TO 09
BEDOK,672,JLN DAMAI,Model A,1996,5 ROOM,04 TO 06
BEDOK,415,BEDOK NTH AVE 2,Improved,1978,5 ROOM,16 TO 18
BEDOK,763,BEDOK RESERVOIR VIEW,Premium Apartment,2000,5 ROOM,16 TO 18
BEDOK,805,CHAI CHEE RD,Improved,1993,5 ROOM,13 TO 15
BEDOK,723,BEDOK RESERVOIR RD,Model A-Maisonette,1984,5 ROOM,04 TO 06
BEDOK,722,BEDOK RESERVOIR RD,Model A-Maisonette,1984,5 ROOM,01 TO 03
BEDOK,219C,BEDOK CTRL,Improved,2010,5 ROOM,13 TO 15
BEDOK,640,BEDOK RESERVOIR RD,Apartment,1993,EXECUTIVE,04 TO 06
BEDOK,160,BEDOK STH AVE 3,Maisonette,1986,EXECUTIVE,01 TO 03
BEDOK,640,BEDOK RESERVOIR RD,Apartment,1993,EXECUTIVE,10 TO 12
BEDOK,94C,BEDOK NTH AVE 4,Apartment,1993,EXECUTIVE,10 TO 12
BISHAN,22,SIN MING RD,Improved,1973,3 ROOM,10 TO 12
BISHAN,407,SIN MING AVE,Simplified,1986,3 ROOM,10 TO 12
BISHAN,105,BISHAN ST 12,Simplified,1985,3 ROOM,04 TO 06
BISHAN,167,BISHAN ST 13,Simplified,1988,4 ROOM,04 TO 06
BISHAN,111,BISHAN ST 12,Simplified,1986,4 ROOM,04 TO 06
BISHAN,181,BISHAN ST 13,Simplified,1987,4 ROOM,04 TO 06
BISHAN,166,BISHAN ST 13,Simplified,1987,4 ROOM,01 TO 03
BISHAN,109,BISHAN ST 12,Simplified,1985,4 ROOM,07 TO 09
BISHAN,115,BISHAN ST 12,Simplified,1986,4 ROOM,07 TO 09
BISHAN,181,BISHAN ST 13,Simplified,1987,4 ROOM,01 TO 03
BISHAN,260,BISHAN ST 22,Model A,1992,4 ROOM,13 TO 15
BISHAN,275A,BISHAN ST 24,DBSS,2011,4 ROOM,34 TO 36
BISHAN,214,BISHAN ST 23,Model A,1992,5 ROOM,04 TO 06
BISHAN,182,BISHAN ST 13,Improved,1987,5 ROOM,01 TO 03
BISHAN,448,BRIGHT HILL DR,Improved,1990,5 ROOM,07 TO 09
BISHAN,402,SIN MING AVE,Improved,1986,5 ROOM,22 TO 24
BISHAN,128,BISHAN ST 12,Improved,1987,5 ROOM,07 TO 09
BISHAN,303,SHUNFU RD,Improved,1985,5 ROOM,07 TO 09
BISHAN,275A,BISHAN ST 24,DBSS,2011,5 ROOM,04 TO 06
BISHAN,231,BISHAN ST 23,Maisonette,1992,EXECUTIVE,04 TO 06
BISHAN,134,BISHAN ST 12,Maisonette,1986,EXECUTIVE,04 TO 06
BUKIT BATOK,342,BT BATOK ST 34,Simplified,1987,3 ROOM,01 TO 03
BUKIT BATOK,530,BT BATOK ST 51,Simplified,1987,3 ROOM,04 TO 06
BUKIT BATOK,145,BT BATOK ST 11,New Generation,1984,3 ROOM,04 TO 06
BUKIT BATOK,528,BT BATOK ST 51,Improved,1987,3 ROOM,10 TO 12
BUKIT BATOK,537,BT BATOK ST 52,Model A,1987,3 ROOM,01 TO 03
BUKIT BATOK,213,BT BATOK ST 21,New Generation,1984,3 ROOM,04 TO 06
BUKIT BATOK,219,BT BATOK ST 21,New Generation,1985,3 ROOM,01 TO 03
BUKIT BATOK,235,BT BATOK EAST AVE 5,New Generation,1985,3 ROOM,07 TO 09
BUKIT BATOK,130,BT BATOK WEST AVE 6,Model A,1984,3 ROOM,07 TO 09
BUKIT BATOK,212,BT BATOK ST 21,New Generation,1985,3 ROOM,04 TO 06
BUKIT BATOK,346,BT BATOK ST 34,Model A,1986,3 ROOM,07 TO 09
BUKIT BATOK,219,BT BATOK ST 21,New Generation,1985,3 ROOM,07 TO 09
BUKIT BATOK,226,BT BATOK CTRL,New Generation,1984,3 ROOM,01 TO 03
BUKIT BATOK,247,BT BATOK EAST AVE 5,Model A,1985,3 ROOM,07 TO 09
BUKIT BATOK,169,BT BATOK WEST AVE 8,Model A,1984,3 ROOM,04 TO 06
BUKIT BATOK,154,BT BATOK ST 11,New Generation,1998,3 ROOM,01 TO 03
BUKIT BATOK,260,BT BATOK EAST AVE 4,Model A,1985,3 ROOM,04 TO 06
BUKIT BATOK,360,BT BATOK ST 31,New Generation,1987,3 ROOM,07 TO 09
BUKIT BATOK,217,BT BATOK ST 21,New Generation,1984,3 ROOM,10 TO 12
BUKIT BATOK,178,BT BATOK WEST AVE 8,Model A,1984,3 ROOM,10 TO 12
BUKIT BATOK,169,BT BATOK WEST AVE 8,Model A,1984,3 ROOM,10 TO 12
BUKIT BATOK,265,BT BATOK EAST AVE 4,New Generation,1985,3 ROOM,04 TO 06
BUKIT BATOK,134,BT BATOK WEST AVE 6,New Generation,1984,3 ROOM,07 TO 09
BUKIT BATOK,301,BT BATOK ST 31,Simplified,1985,4 ROOM,10 TO 12
BUKIT BATOK,537,BT BATOK ST 52,Model A,1987,4 ROOM,01 TO 03
BUKIT BATOK,289E,BT BATOK ST 25,Model A,1998,4 ROOM,16 TO 18
BUKIT BATOK,244,BT BATOK EAST AVE 5,New Generation,1985,4 ROOM,04 TO 06
BUKIT BATOK,248,BT BATOK EAST AVE 5,Model A,1985,4 ROOM,07 TO 09
BUKIT BATOK,290D,BT BATOK EAST AVE 3,Model A,1998,4 ROOM,01 TO 03
BUKIT BATOK,395,BT BATOK WEST AVE 5,Model A,2004,4 ROOM,07 TO 09
BUKIT BATOK,642,BT BATOK CTRL,Model A,1989,4 ROOM,01 TO 03
BUKIT BATOK,185,BT BATOK WEST AVE 6,Model A,1989,4 ROOM,04 TO 06
BUKIT BATOK,106,BT BATOK CTRL,Model A,1985,4 ROOM,01 TO 03
BUKIT BATOK,210,BT BATOK ST 21,Model A,1985,4 ROOM,01 TO 03
BUKIT BATOK,386,BT BATOK WEST AVE 5,Model A,2004,4 ROOM,13 TO 15
BUKIT BATOK,394,BT BATOK WEST AVE 5,Model A,2004,4 ROOM,16 TO 18
BUKIT BATOK,190,BT BATOK WEST AVE 6,Model A,1997,4 ROOM,13 TO 15
BUKIT BATOK,206,BT BATOK ST 21,Model A,1983,4 ROOM,07 TO 09
BUKIT BATOK,211,BT BATOK ST 21,Model A,1985,4 ROOM,10 TO 12
BUKIT BATOK,391,BT BATOK WEST AVE 5,Model A,2004,4 ROOM,22 TO 24
BUKIT BATOK,205,BT BATOK ST 21,Model A,1985,4 ROOM,10 TO 12
BUKIT BATOK,193,BT BATOK WEST AVE 6,Model A,1997,4 ROOM,13 TO 15
BUKIT BATOK,624,BT BATOK CTRL,Model A,1997,4 ROOM,07 TO 09
BUKIT BATOK,290A,BT BATOK ST 24,Improved,1998,5 ROOM,13 TO 15
BUKIT BATOK,141,BT BATOK ST 11,Maisonette,1984,EXECUTIVE,10 TO 12
BUKIT BATOK,120,BT BATOK CTRL,Maisonette,1985,EXECUTIVE,01 TO 03
BUKIT BATOK,289A,BT BATOK ST 25,Apartment,1997,EXECUTIVE,13 TO 15
BUKIT MERAH,10,JLN BT HO SWEE,Standard,1971,2 ROOM,07 TO 09
BUKIT MERAH,2,JLN BT HO SWEE,Standard,1971,2 ROOM,07 TO 09
BUKIT MERAH,45,TELOK BLANGAH DR,Improved,1976,2 ROOM,07 TO 09
BUKIT MERAH,36,BEO CRES,Standard,1971,2 ROOM,07 TO 09
BUKIT MERAH,20,TELOK BLANGAH CRES,Improved,1975,3 ROOM,04 TO 06
BUKIT MERAH,16,TAMAN HO SWEE,Standard,1970,3 ROOM,04 TO 06
BUKIT MERAH,32,TELOK BLANGAH RISE,Improved,1976,3 ROOM,10 TO 12
BUKIT MERAH,33,TELOK BLANGAH WAY,Improved,1976,3 ROOM,10 TO 12
BUKIT MERAH,142,JLN BT MERAH,New Generation,1979,3 ROOM,01 TO 03
BUKIT MERAH,131,JLN BT MERAH,Improved,1976,3 ROOM,01 TO 03
BUKIT MERAH,30,JLN KLINIK,Standard,1969,3 ROOM,04 TO 06
BUKIT MERAH,63,TELOK BLANGAH HTS,New Generation,1976,3 ROOM,04 TO 06
BUKIT MERAH,142,JLN BT MERAH,New Generation,1979,3 ROOM,10 TO 12
BUKIT MERAH,61,TELOK BLANGAH HTS,New Generation,1976,3 ROOM,07 TO 09
BUKIT MERAH,116,BT MERAH VIEW,Improved,1974,3 ROOM,04 TO 06
BUKIT MERAH,131,JLN BT MERAH,Improved,1976,3 ROOM,07 TO 09
BUKIT MERAH,44,TELOK BLANGAH DR,Improved,1976,3 ROOM,07 TO 09
BUKIT MERAH,24,BEO CRES,Standard,1971,3 ROOM,07 TO 09
BUKIT MERAH,78,INDUS RD,Improved,1982,3 ROOM,04 TO 06
BUKIT MERAH,55,TELOK BLANGAH DR,New Generation,1978,3 ROOM,07 TO 09
BUKIT MERAH,130,BT MERAH VIEW,Improved,1973,3 ROOM,01 TO 03
BUKIT MERAH,122,BT MERAH LANE 1,New Generation,1979,3 ROOM,04 TO 06
BUKIT MERAH,80C,TELOK BLANGAH ST 31,Premium Apartment,2013,3 ROOM,13 TO 15
BUKIT MERAH,50,MOH GUAN TER,Standard,1973,3 ROOM,01 TO 03
BUKIT MERAH,47,MOH GUAN TER,Standard,1973,3 ROOM,01 TO 03
BUKIT MERAH,54,HAVELOCK RD,Model A,2013,3 ROOM,22 TO 24
BUKIT MERAH,101,HENDERSON CRES,Standard,1970,4 ROOM,01 TO 03
BUKIT MERAH,23,TELOK BLANGAH CRES,Improved,1975,4 ROOM,04 TO 06
BUKIT MERAH,106,HENDERSON CRES,Improved,1975,4 ROOM,07 TO 09
BUKIT MERAH,115,BT PURMEI RD,Model A,1985,4 ROOM,04 TO 06
BUKIT MERAH,108,BT PURMEI RD,Model A,1984,4 ROOM,04 TO 06
BUKIT MERAH,129,KIM TIAN RD,Improved,1976,4 ROOM,10 TO 12
BUKIT MERAH,106B,DEPOT RD,Model A,2000,4 ROOM,13 TO 15
BUKIT MERAH,38,JLN RUMAH TINGGI,Model A,1997,4 ROOM,16 TO 18
BUKIT MERAH,38,JLN RUMAH TINGGI,Model A,1997,4 ROOM,04 TO 06
BUKIT MERAH,3,DELTA AVE,New Generation,1985,4 ROOM,01 TO 03
BUKIT MERAH,134,JLN BT MERAH,Model A,1997,4 ROOM,13 TO 15
BUKIT MERAH,80A,TELOK BLANGAH ST 31,Premium Apartment,2013,4 ROOM,04 TO 06
BUKIT MERAH,27A,JLN MEMBINA,Model A,2008,4 ROOM,04 TO 06
BUKIT MERAH,75A,REDHILL RD,Model A,2005,4 ROOM,04 TO 06
BUKIT MERAH,77A,REDHILL RD,Model A,2005,4 ROOM,19 TO 21
BUKIT MERAH,27A,JLN MEMBINA,Model A,2008,4 ROOM,13 TO 15
BUKIT MERAH,27A,JLN MEMBINA,Model A,2008,4 ROOM,22 TO 24
BUKIT MERAH,57,HAVELOCK RD,Model A,2013,4 ROOM,28 TO 30
BUKIT MERAH,80A,TELOK BLANGAH ST 31,Premium Apartment,2013,4 ROOM,28 TO 30
BUKIT MERAH,106B,DEPOT RD,Improved,2000,5 ROOM,01 TO 03
BUKIT MERAH,48,LENGKOK BAHRU,Improved,1986,5 ROOM,01 TO 03
BUKIT MERAH,35,JLN RUMAH TINGGI,Improved,1999,5 ROOM,13 TO 15
BUKIT MERAH,46,LENGKOK BAHRU,Model A,1984,5 ROOM,10 TO 12
BUKIT MERAH,67,TELOK BLANGAH DR,Standard,1978,5 ROOM,16 TO 18
BUKIT MERAH,87,ZION RD,Improved,1974,5 ROOM,07 TO 09
BUKIT MERAH,1,DELTA AVE,Improved,1983,5 ROOM,13 TO 15
BUKIT PANJANG,214,PETIR RD,Model A,1988,3 ROOM,10 TO 12
BUKIT PANJANG,123,PENDING RD,Model A,1988,3 ROOM,01 TO 03
BUKIT PANJANG,249,BANGKIT RD,Model A,1989,3 ROOM,07 TO 09
BUKIT PANJANG,458,SEGAR RD,Premium Apartment,2012,3 ROOM,13 TO 15
BUKIT PANJANG,506,JELAPANG RD,Model A,1998,4 ROOM,04 TO 06
BUKIT PANJANG,621,SENJA RD,Model A,2001,4 ROOM,04 TO 06
BUKIT PANJANG,402,FAJAR RD,Model A,1988,4 ROOM,01 TO 03
BUKIT PANJANG,419,FAJAR RD,Model A,1989,4 ROOM,10 TO 12
BUKIT PANJANG,526,JELAPANG RD,Model A,1999,4 ROOM,04 TO 06
BUKIT PANJANG,623,SENJA RD,Model A,2001,4 ROOM,07 TO 09
BUKIT PANJANG,128,PENDING RD,Model A,1988,4 ROOM,04 TO 06
BUKIT PANJANG,204,PETIR RD,Model A,1988,4 ROOM,07 TO 09
BUKIT PANJANG,473,SEGAR RD,Premium Apartment,2003,4 ROOM,10 TO 12
BUKIT PANJANG,237,BT PANJANG RING RD,Model A,1988,4 ROOM,04 TO 06
BUKIT PANJANG,473,SEGAR RD,Premium Apartment,2003,4 ROOM,16 TO 18
BUKIT PANJANG,539,BT PANJANG RING RD,Model A,1999,4 ROOM,01 TO 03
BUKIT PANJANG,516,JELAPANG RD,Model A,1998,4 ROOM,07 TO 09
BUKIT PANJANG,217,PETIR RD,Model A,1987,4 ROOM,10 TO 12
BUKIT PANJANG,218,PETIR RD,Model A,1987,4 ROOM,07 TO 09
BUKIT PANJANG,517,JELAPANG RD,Model A,1998,4 ROOM,10 TO 12
BUKIT PANJANG,652,SENJA LINK,Premium Apartment,2001,4 ROOM,07 TO 09
BUKIT PANJANG,624,SENJA RD,Model A,2001,4 ROOM,10 TO 12
BUKIT PANJANG,539,BT PANJANG RING RD,Model A,1999,4 ROOM,07 TO 09
BUKIT PANJANG,629,SENJA RD,Premium Apartment,2004,4 ROOM,22 TO 24
BUKIT PANJANG,455,SEGAR RD,Premium Apartment,2012,4 ROOM,07 TO 09
BUKIT PANJANG,176,LOMPANG RD,Model A,1997,4 ROOM,13 TO 15
BUKIT PANJANG,418,FAJAR RD,Improved,1989,5 ROOM,04 TO 06
BUKIT PANJANG,484,SEGAR RD,Premium Apartment,2002,5 ROOM,16 TO 18
BUKIT PANJANG,140,PETIR RD,Improved,1988,5 ROOM,01 TO 03
BUKIT PANJANG,152,GANGSA RD,Improved,1998,5 ROOM,01 TO 03
BUKIT PANJANG,537,BT PANJANG RING RD,Improved,1999,5 ROOM,04 TO 06
BUKIT PANJANG,401,FAJAR RD,Improved,1988,5 ROOM,07 TO 09
BUKIT PANJANG,242,BT PANJANG RING RD,Improved,1988,5 ROOM,10 TO 12
BUKIT PANJANG,613,BT PANJANG RING RD,Improved,2002,5 ROOM,13 TO 15
BUKIT PANJANG,654,SENJA RD,Premium Apartment,2001,5 ROOM,16 TO 18
BUKIT PANJANG,536,JELAPANG RD,Improved,1999,5 ROOM,16 TO 18
BUKIT PANJANG,154,GANGSA RD,Improved,1998,5 ROOM,07 TO 09
BUKIT PANJANG,154,GANGSA RD,Improved,1998,5 ROOM,10 TO 12
BUKIT PANJANG,174,LOMPANG RD,Improved,1997,5 ROOM,04 TO 06
BUKIT PANJANG,177,LOMPANG RD,Improved,2001,5 ROOM,07 TO 09
BUKIT PANJANG,606,SENJA RD,Improved,1999,5 ROOM,28 TO 30
BUKIT PANJANG,650,SENJA LINK,Premium Apartment,2001,EXECUTIVE,01 TO 03
BUKIT PANJANG,228,PENDING RD,Apartment,1988,EXECUTIVE,04 TO 06
BUKIT PANJANG,151,PETIR RD,Maisonette,1988,EXECUTIVE,01 TO 03
BUKIT TIMAH,4,TOH YI DR,Model A,1988,4 ROOM,07 TO 09
BUKIT TIMAH,5,FARRER RD,Standard,1974,5 ROOM,10 TO 12
BUKIT TIMAH,15,TOH YI DR,Maisonette,1988,EXECUTIVE,01 TO 03
CENTRAL AREA,9,JLN KUKOH,Improved,1982,2 ROOM,04 TO 06
CENTRAL AREA,640,ROWELL RD,Model A,1984,3 ROOM,01 TO 03
CENTRAL AREA,264,WATERLOO ST,Improved,1986,3 ROOM,16 TO 18
CENTRAL AREA,32,NEW MKT RD,Standard,1983,3 ROOM,07 TO 09
CENTRAL AREA,5,TG PAGAR PLAZA,Improved,1977,3 ROOM,07 TO 09
CENTRAL AREA,271,QUEEN ST,Improved,1979,3 ROOM,16 TO 18
CENTRAL AREA,232,BAIN ST,Improved,1980,4 ROOM,16 TO 18
CENTRAL AREA,1C,CANTONMENT RD,Type S1,2011,4 ROOM,04 TO 06
CENTRAL AREA,1F,CANTONMENT RD,Type S1,2011,4 ROOM,04 TO 06
CENTRAL AREA,1F,CANTONMENT RD,Type S1,2011,4 ROOM,37 TO 39
CENTRAL AREA,1B,CANTONMENT RD,Type S2,2011,5 ROOM,49 TO 51
CHOA CHU KANG,111,TECK WHYE LANE,Model A,1989,3 ROOM,10 TO 12
CHOA CHU KANG,111,TECK WHYE LANE,Model A,1989,3 ROOM,04 TO 06
CHOA CHU KANG,114,TECK WHYE LANE,Model A,1989,3 ROOM,07 TO 09
CHOA CHU KANG,460,CHOA CHU KANG AVE 4,Premium Apartment,2000,4 ROOM,04 TO 06
CHOA CHU KANG,121,TECK WHYE LANE,Model A,1989,4 ROOM,01 TO 03
CHOA CHU KANG,404,CHOA CHU KANG AVE 3,Model A,1993,4 ROOM,01 TO 03
CHOA CHU KANG,692B,CHOA CHU KANG CRES,Model A,2003,4 ROOM,01 TO 03
CHOA CHU KANG,115,TECK WHYE LANE,Model A,1989,4 ROOM,04 TO 06
CHOA CHU KANG,422,CHOA CHU KANG AVE 4,Model A,1992,4 ROOM,04 TO 06
CHOA CHU KANG,680,CHOA CHU KANG CRES,Premium Apartment,1999,4 ROOM,07 TO 09
CHOA CHU KANG,771,CHOA CHU KANG ST 54,Model A,1996,4 ROOM,01 TO 03
CHOA CHU KANG,229,CHOA CHU KANG CTRL,Model A,1989,4 ROOM,01 TO 03
CHOA CHU KANG,237,CHOA CHU KANG CTRL,Model A,1990,4 ROOM,04 TO 06
CHOA CHU KANG,157,JLN TECK WHYE,Model A2,1998,4 ROOM,04 TO 06
CHOA CHU KANG,416,CHOA CHU KANG AVE 4,Model A,1993,4 ROOM,04 TO 06
