project,district,marketSegment,startYear,cleanTenure
KOVAN GRANDEUR,19,OCR,2010,99
KOVAN MELODY,19,OCR,2004,99
KOVAN RESIDENCES,19,OCR,2007,99
LA CASA,25,OCR,2004,99
LA FIESTA,19,OCR,2012,99
LAGOON VIEW,15,OCR,1977,99
LAKE LIFE,22,OCR,2013,99
LAKEHOLMZ,22,OCR,2001,99
LAKEVILLE,22,OCR,2013,99
LANDED HOUSING DEVELOPMENT,19,OCR,1000,1000
LANDMARK TOWER,3,RCR,1980,99
LANGSTON VILLE,9,CCR,1841,999
LEEDON RESIDENCE,10,CCR,1000,1000
LILYDALE,27,OCR,2000,99
LINCOLN SUITES,11,CCR,1000,1000
LIVIA,18,OCR,2008,99
LOYANG VALLEY,17,OCR,1982,99
LOYANG VILLAS,17,OCR,1993,99
LUXUS HILLS,28,OCR,1879,999
MANDAI GARDEN,26,OCR,1884,999
MANDALAY TOWERS,11,CCR,1000,1000
MANDARIN GARDENS,15,OCR,1982,99
MARINA BAY RESIDENCES,1,CCR,2005,99
MEADOWS @ PEIRCE,26,OCR,1000,1000
MELOSA,14,RCR,1000,1000
MELVILLE PARK,18,OCR,1992,99
MERA GARDENS,23,OCR,1994,99
MI CASA,23,OCR,2008,99
MINBU COURT,11,CCR,1000,1000
MODENA,18,OCR,1997,99
MON JERVOIS,10,CCR,2012,99
MONTEBLEU,11,CCR,1000,1000
NAUNG RESIDENCE,19,OCR,1883,999
NEPTUNE COURT,15,OCR,1975,99
NEWEST,5,OCR,1928,956
NORTH PARK RESIDENCES,27,OCR,2015,99
NORTHVALE,23,OCR,1995,99
NOVENA COURT,11,CCR,1000,1000
OCEAN PARK,15,OCR,1000,1000
OLEANDER TOWERS,12,RCR,1995,99
ONE AMBER,15,RCR,1000,1000
ONE DEVONSHIRE,9,CCR,1000,1000
ONE EIGHTIES RESIDENCES,15,RCR,1000,1000
ORCHID PARK CONDOMINIUM,27,OCR,1991,99
OUE TWIN PEAKS,9,CCR,2010,99
PALM GARDENS,23,OCR,1996,99
PALM GREEN,5,RCR,1000,1000
PARADISE PALMS,15,RCR,1000,1000
PARC EMILY,9,CCR,1000,1000
PARC IMPERIAL,5,RCR,1000,1000
PARC OASIS,22,OCR,1991,99
PARC PALAIS,21,OCR,1000,1000
PARC ROSEWOOD,25,OCR,2011,99
PARC VISTA,22,OCR,1995,99
PARK GREEN,19,OCR,2001,99
PARK INFINIA AT WEE NAM,11,CCR,1000,1000
PARK WEST,5,OCR,1982,99
PARKVIEW APARTMENTS,23,OCR,1994,99
PEACE CENTRE/MANSIONS,9,CCR,1970,99
PEIRCE VIEW,20,OCR,1000,1000
PINE GROVE,21,RCR,1984,99
PINEWOOD GARDENS,10,CCR,1000,1000
PRESIDIO,15,RCR,1000,1000
PRIME RESIDENCE,14,RCR,1000,1000
PRINCIPAL GARDEN,3,RCR,2014,99
QUEENS,3,RCR,1998,99
QUESTA @ DUNMAN,15,RCR,1000,1000
REFLECTIONS AT KEPPEL BAY,4,RCR,2006,99
RESIDENCES @ EVELYN,11,CCR,1000,1000
RESIDENCES BOTANIQUE,19,OCR,1000,1000
RIDGEWOOD,10,CCR,1885,999
RIO CASA,19,OCR,1986,104
RIVERBANK @ FERNVALE,28,OCR,2013,99
RIVERBAY,12,RCR,1882,999
RIVERSAILS,19,OCR,2011,99
RIVERSOUND RESIDENCE,19,OCR,2011,99
RIVERTREES RESIDENCES,28,OCR,2013,99
RIVERVALE CREST,19,OCR,1997,99
ROBIN RESIDENCES,10,CCR,1000,1000
ROBIN SUITES,10,CCR,1000,1000
ROSEWOOD,25,OCR,2000,99
ROSEWOOD SUITES,25,OCR,2008,99
RV EDGE,10,CCR,1000,1000
RV RESIDENCES,10,CCR,1877,999
SAVANNAH CONDOPARK,18,OCR,2000,99
SCOTTS SQUARE,9,CCR,1000,1000
SEA HORIZON,18,OCR,2013,99
SEASONS PARK,26,OCR,1995,99
SEASONS VIEW,20,RCR,1996,99
SEASTRAND,18,OCR,2011,99
SELETAR SPRINGS CONDOMINIUM,28,OCR,1997,99
SELETARIS,27,OCR,1000,1000
SEMBAWANG HILLS ESTATE,20,OCR,1000,1000
SERANGOON GARDEN ESTATE,19,OCR,1955,999
SERANGOON PARK,13,OCR,1000,1000
SEVEN PALMS SENTOSA COVE,4,CCR,2007,99
