project,district,marketSegment,startYear,cleanTenure
THE BERTH BY THE COVE,4,CCR,2004,99
THE BLOSSOMVALE,21,RCR,1884,999
THE BOUTIQ,9,CCR,1000,1000
THE CALROSE,26,OCR,1000,1000
THE CANOPY,27,OCR,2010,99
THE CASCADIA,21,RCR,1000,1000
THE CENTRIS,22,OCR,2006,99
THE CITRINE,12,RCR,1000,1000
THE COAST AT SENTOSA COVE,4,CCR,2006,99
THE DEW,23,OCR,2000,99
THE EDGE ON CAIRNHILL,9,CCR,1000,1000
THE EQUATORIAL,10,CCR,1000,1000
THE ESPARIS,18,OCR,2002,99
THE ESPIRA,15,OCR,1000,1000
THE FLORIDA,19,OCR,1997,99
THE HILLSIDE,21,OCR,1000,1000
THE HOLLAND COLLECTION,10,CCR,1000,1000
THE INTERWEAVE,12,RCR,1000,1000
THE MARQUE @ IRRAWADDY,12,RCR,1000,1000
THE MAYLEA,5,RCR,1000,1000
THE MERLOT,8,RCR,1000,1000
THE MEZZO,12,RCR,1000,1000
THE MILTONIA RESIDENCES,27,OCR,2010,99
THE MINT RESIDENCES,15,RCR,1000,1000
THE OCEANFRONT @ SENTOSA COVE,4,CCR,2005,99
THE ORCHARD RESIDENCES,9,CCR,2006,99
THE ORIENT,5,RCR,1000,1000
THE PATERSON,9,CCR,1000,1000
THE PEAK@BALMEG,5,RCR,1000,1000
THE PETALS,23,OCR,1000,1000
THE PRINCETON,10,CCR,1000,1000
THE PROMINENCE,15,RCR,1000,1000
THE QUARTZ,19,OCR,2005,99
THE QUAYSIDE,9,CCR,1994,99
THE QUINN,19,OCR,1000,1000
THE RIVERINE BY THE PARK,12,RCR,1000,1000
THE RIVERVALE,19,OCR,1997,99
THE SCALA,19,OCR,2010,99
THE SEA VIEW,15,RCR,1000,1000
THE SEAFRONT ON MEYER,15,RCR,1000,1000
THE SHELFORD,11,CCR,1000,1000
THE SIENA,10,CCR,2013,99
THE SILVER SPURZ,19,OCR,1000,1000
THE SOLITAIRE,10,CCR,1000,1000
THE SPRINGFIELD,16,OCR,1995,99
THE STERLING,21,RCR,1000,1000
THE SUNNYDALE,19,OCR,1997,99
THE TANAMERA,16,OCR,1990,99
THE TATE RESIDENCES,9,CCR,1000,1000
THE TEMBUSU,19,OCR,1000,1000
THE TREVOSE,11,CCR,1996,99
THE VERMONT ON CAIRNHILL,9,CCR,1000,1000
THE VERVE,12,RCR,1000,1000
THE VISION,5,OCR,2008,99
THE VISIONAIRE,27,OCR,2015,99
THE WHARF RESIDENCE,9,CCR,1841,999
THOMSON 800,11,CCR,1000,1000
THOMSON RIDGE ESTATE,20,RCR,1000,1000
THOMSON THREE,20,RCR,2012,99
TREE HOUSE,23,OCR,2009,99
TROPICAL SPRING,18,OCR,1997,99
TROPIKA EAST,14,OCR,1000,1000
VARSITY PARK CONDOMINIUM,5,OCR,2004,99
VENTANA,5,RCR,1000,1000
VERANDA,15,OCR,1000,1000
VIIO @ BALESTIER,12,RCR,1000,1000
VILLA AZURA,10,CCR,1000,1000
VILLA PONDER ROSA,19,OCR,1000,1000
VILLA VERDE,23,OCR,1997,99
VILLAS SIX,5,RCR,1000,1000
VISTA RESIDENCES,12,RCR,1000,1000
VOGX,8,RCR,1000,1000
WATERBANK AT DAKOTA,14,RCR,2009,99
WATERFALL GARDENS,10,CCR,1000,1000
WATERFRONT GOLD,16,OCR,2009,99
WATERFRONT ISLE,16,OCR,2009,99
WATERWOODS,19,OCR,2013,99
WATTEN HILL,11,CCR,1000,1000
WEST BAY CONDOMINIUM,5,OCR,1991,99
WINDERMERE,23,OCR,1997,99
WINDY HEIGHTS,14,OCR,1000,1000
WOODHAVEN,25,OCR,2011,99
WOODSVILLE 28,13,RCR,2007,99
YELEY BUILDING,19,OCR,1000,1000
YEW MEI GREEN,23,OCR,1997,99
# 1 SUITES,14,RCR,1000,1000
1 KING ALBERT PARK,21,RCR,1000,1000
1 MOULMEIN RISE,11,CCR,1000,1000
18 WOODSVILLE,13,RCR,1000,1000
8 FARRER SUITES,8,RCR,1000,1000
AALTO,15,RCR,1000,1000
ALEXIS,3,RCR,1000,1000
AMARYLLIS VILLE,11,CCR,1997,99
AMBER POINT,15,RCR,1000,1000
ANGULLIA PARK RESIDENCES @ ORCHARD,10,CCR,1000,1000
AQUARINE GARDENS,15,OCR,1000,1000
ARTHUR 118,15,RCR,1000,1000
ASCENT @ 456,12,RCR,1000,1000
AVILA GARDENS,17,OCR,1000,1000
AXIS @ SIGLAP,15,OCR,1000,1000
BALCON EAST,16,OCR,1000,1000
BALLOTA PARK CONDOMINIUM,17,OCR,1000,1000
BAN GUAN PARK,10,CCR,1000,1000
BEAUTY GARDEN,19,OCR,1879,999
BELGRAVIA VILLAS,28,OCR,1000,1000
BEVERLY HILL,10,CCR,1000,1000
BLISS LOFT,12,RCR,1000,1000
BLOSSOMS @ WOODLEIGH,13,RCR,1000,1000
BLUE HORIZON,5,OCR,2000,99
BRISTOL LODGE,8,RCR,1000,1000
BROOKVALE PARK,21,OCR,1885,999
BUKIT REGENCY,21,RCR,1000,1000
BURGUNDY HILL,23,OCR,1995,99
CANNAVILLE,15,RCR,1000,1000
CASA AERATA,14,RCR,1000,1000
CASA CAMBIO,19,OCR,1000,1000
CASA CONTENDERE,11,CCR,1000,1000
CASA MEYFORT,15,RCR,1000,1000
CASA PASIR RIS,17,OCR,1938,946
CASA RIVIERA,19,OCR,1000,1000
CASA ROSA,19,OCR,1998,99
CASABELLA,10,CCR,1000,1000
CENTURION 12,20,RCR,1000,1000
CENTURY WOODS,25,OCR,1996,99
CEYLON CREST,15,RCR,1000,1000
CHARLTON 27,19,OCR,1000,1000
CHELSEA VILLAGE,5,RCR,1000,1000
CHENG SOON GARDEN,21,RCR,1000,1000
CHUAN VISTA,19,OCR,1997,99
CITY EDGE,11,CCR,1000,1000
CITYSCAPE @FARRER PARK,8,RCR,1000,1000
CLYDESVIEW,3,RCR,1000,1000
DALLA VALE,26,OCR,1000,1000
DE PARADISO,12,RCR,1000,1000
EAST COAST PARK,15,OCR,1000,1000
EAST SIGNATURE,15,OCR,1000,1000
EAST VIEW 18,15,RCR,1000,1000
EASTWOOD GREEN,16,OCR,1995,99
EASTWOOD PARK,16,OCR,1995,99
EASTWOOD WALK GARDENS,16,OCR,1995,99
ECO,16,OCR,2012,99
ECOPOLITAN,19,OCR,2012,99
EDELWEISS PARK CONDOMINIUM,17,OCR,1000,1000
EDEN PARK,10,CCR,1000,1000
ENG AUN PARK,11,CCR,1000,1000
EVANIA,19,OCR,1000,1000
EVERGREEN PARK,19,OCR,1995,99
EXCELSIOR GARDENS,16,OCR,1000,1000
FABER CREST,5,OCR,1996,99
FABER HILLS,5,OCR,1000,1000
FAR HORIZON GARDENS,20,OCR,1982,99
FLAME TREE PARK,20,RCR,1000,1000
FLORIDIAN,21,RCR,1000,1000
FLORISSA PARK,26,OCR,1000,1000
FORESQUE RESIDENCES,23,OCR,2011,99
FORTUNE JADE,15,RCR,1000,1000
GEM RESIDENCES,12,RCR,2015,99
GEYLANG CONSERVATION AREA,14,RCR,1000,1000
GOLDHILL GARDENS,11,CCR,1000,1000
GRAMERCY PARK,10,CCR,1000,1000
GRANDEUR 8,20,OCR,2002,99
GRANGE INFINITE,9,CCR,1000,1000
GREEN HILL ESTATE,23,OCR,1882,999
HARBOUR VIEW TOWERS,4,RCR,1990,99
HERITAGE VIEW,5,RCR,1996,99
HERTFORD MANSION,8,RCR,1000,1000
HIGH OAK CONDOMINIUM,21,RCR,1996,99
HILLCREST VILLA,11,CCR,2006,99
HILLSTA,23,OCR,2011,99
HILLTOPS,9,CCR,1000,1000
HILLVIEW GREEN,21,OCR,1883,999
HOLLAND MEWS,10,CCR,1000,1000
ILLOURA,10,CCR,1000,1000
IRESIDENCES,12,RCR,1000,1000
ISUITES @ TANI,19,OCR,1883,999
JUBILEE RESIDENCE,5,RCR,1000,1000
KALEIDO,15,OCR,1000,1000
KATONG REGENCY,15,RCR,1000,1000
KELLOCK LODGE,10,CCR,1000,1000
KEW GREEN,16,OCR,1994,99
KIMNAN PARK,14,OCR,1000,1000
KINGSVILLE,10,CCR,1996,102
LAGUNA GREEN,16,OCR,1995,99
LAKESIDE APARTMENTS,22,OCR,1977,99
LAKEVIEW ESTATE,20,RCR,1977,99
LANDRIDGE CONDOMINIUM,5,RCR,1000,1000
LE CONNEY PARK,15,OCR,1000,1000
LEONIE SUITES,9,CCR,2002,99
LEONIE TOWERS,9,CCR,1000,1000
LEVENUE,14,OCR,1000,1000
LIV ON WILKIE,9,CCR,1000,1000
LOFT@HOLLAND,10,CCR,1000,1000
LUCIDA,11,CCR,1000,1000
LUCKY PLAZA,9,CCR,1000,1000
MARINA ONE RESIDENCES,1,CCR,2011,99
MARLENE VILLE,19,OCR,1000,1000
MARYMOUNT VIEW,20,RCR,1000,1000
MAYFAIR PARK,21,RCR,1952,99
MEDGE,11,CCR,1000,1000
MELROSE PARK,10,CCR,1877,999
MERA SPRINGS,8,RCR,1000,1000
MERAPRIME,3,RCR,2003,99
MERAWOODS,23,OCR,1885,999
MIRO,11,CCR,1000,1000
MISTRAL PARK,16,OCR,1000,1000
MOUNT SINAI,10,CCR,1885,999
MULBERRY TREE,11,CCR,1000,1000
MUTIARA VIEW,10,CCR,1000,1000
NADIA MANSIONS,12,RCR,1000,1000
NASSIM PARK RESIDENCES,10,CCR,1000,1000
NATHAN PLACE,10,CCR,1000,1000
NEEM TREE,12,RCR,1000,1000
NEWTON EDGE,9,CCR,1000,1000
NEWTON ONE,11,CCR,1000,1000
NICON GARDENS,23,OCR,1981,99
NORTHWOOD,27,OCR,1000,1000
NOTTINGHILL SUITES,21,RCR,1000,1000
NOVELIS,11,CCR,1000,1000
NV RESIDENCES,18,OCR,2008,99
OASIS GARDEN,19,RCR,1000,1000
ONE JERVOIS,10,CCR,1000,1000
ONE LEICESTER,13,RCR,1000,1000
ONE SHENTON,1,CCR,2005,99
OPTIMA @ TANAH MERAH,16,OCR,2008,99
PALM GROVE CONDOMINIUM,19,OCR,1878,999
PALM SPRING,10,CCR,1000,1000
PALMERA EAST,14,OCR,1000,1000
PANDAN VALLEY,21,RCR,1000,1000
PARC BLEU,15,OCR,1000,1000
PARC CENTROS,19,OCR,2012,99
PARC OLYMPIA,17,OCR,2012,99
PARC SOPHIA,9,CCR,1000,1000
PARK EAST,15,OCR,1000,1000
PARKSHORE,15,RCR,1000,1000
PAYA LEBAR GARDENS,19,OCR,1000,1000
PEBBLE BAY,15,RCR,1994,99
PEOPLE'S PARK COMPLEX,1,RCR,1968,99
PINE VILLAS,25,OCR,1000,1000
POLLEN & BLEU,10,CCR,2012,99
PRESTIGE HEIGHTS,12,RCR,1000,1000
PRISTINE HEIGHTS,8,RCR,1000,1000
RAYA GARDEN,19,OCR,1000,1000
REGENT RESIDENCES,12,RCR,1000,1000
REGIS MANSIONS,21,RCR,1000,1000
RESIDENTIAL APARTMENTS,15,RCR,1000,1000
REZI 3TWO,14,RCR,1000,1000
RHAPSODY ON MOUNT ELIZABETH,9,CCR,1000,1000
RIVERIA GARDENS,9,CCR,1000,1000
RIVERPARC RESIDENCE,19,OCR,2010,99
RIVERSIDE MELODIES,12,RCR,1000,1000
ROBERTSON EDGE,9,CCR,1841,999
SANCTUARY GREEN,15,RCR,1997,99
SANT RITZ,13,RCR,2012,99
SANTA TERRACES,14,OCR,1000,1000
SEA AVENUE MANSIONS,15,RCR,1000,1000
SELANTING GREEN,21,RCR,1000,1000
SEMBAWANG SPRINGS ESTATE,27,OCR,1000,1000
SENNETT ESTATE,13,RCR,1000,1000
SERENITY PARK,28,OCR,1000,1000
SHAMROCK PARK,10,CCR,1000,1000
SHAW PLAZA - TWIN HEIGHTS,12,RCR,1000,1000
SHELFORD REGENCY,11,CCR,1000,1000
SHERWOOD CONDOMINIUM,21,RCR,1000,1000
SHUNFU VILLE,20,RCR,1986,99
SILAHIS APARTMENTS,15,OCR,1000,1000
SILVERSCAPE,14,RCR,1000,1000
SIXTH AVENUE VILLE,10,CCR,1000,1000
SOO CHOW GARDEN,20,RCR,1000,1000
SPANISH VILLAGE,10,CCR,1000,1000
SPOTTISWOODE RESIDENCES,2,RCR,1000,1000
SPRINGDALE CONDOMINIUM,21,OCR,1877,999
ST FRANCIS COURT,12,RCR,1992,99
ST MICHAEL REGENCY,12,RCR,1000,1000
ST MICHAEL'S PLACE,12,RCR,1000,1000
ST NICHOLAS VIEW,20,OCR,1995,99
ST PATRICK'S RESIDENCES,15,OCR,1000,1000
STARS OF KOVAN,19,OCR,2015,99
STEVENS SUITES,10,CCR,1000,1000
STRATFORD COURT,16,OCR,1995,99
STUDIO 3,10,CCR,1000,1000
SUMMER GROVE,19,OCR,1000,1000
SUNFLOWER COURT,14,RCR,1000,1000
SUNRISE GARDENS,28,OCR,1995,99
SUNSHINE GRANDEUR,15,OCR,1000,1000
SYMPHONY HEIGHTS,21,OCR,1000,1000
TANGLIN REGENCY,10,CCR,1994,99
TANGLIN RESIDENCES,10,CCR,1000,1000
TEACHER'S HOUSING ESTATE,26,OCR,1885,999
TERESA VILLE,4,RCR,1000,1000
TERRENE AT BUKIT TIMAH,21,RCR,1885,999
TEXTILE CENTRE,7,RCR,1970,99
THE ABODE AT DEVONSHIRE,9,CCR,1000,1000
THE ASANA,10,CCR,1000,1000
THE AZURE,4,CCR,2005,99
THE BERTHSIDE,4,CCR,2004,99
THE BEVERLY,21,RCR,1000,1000
THE BLISS,8,RCR,1000,1000
THE BOTANIC ON LLOYD,9,CCR,1000,1000
THE CALLISTA,12,RCR,1882,999
THE CLAYMORE,9,CCR,1000,1000
THE CORNWALL,10,CCR,1000,1000
THE COSMOPOLITAN,9,CCR,1000,1000
THE COUNTRYSIDE,26,OCR,1000,1000
THE DAFFODIL,16,OCR,1000,1000
THE ELEMENT @ STEVENS,10,CCR,1000,1000
THE GREENWICH,28,OCR,2009,99
THE HERMITAGE,10,CCR,1000,1000
THE LAURELS,9,CCR,1000,1000
THE MARBELLA,10,CCR,1000,1000
THE MEYERISE,15,RCR,1000,1000
THE MONTAGE,15,OCR,1000,1000
THE NASSIM,10,CCR,1000,1000
THE NCLAVE,15,OCR,1000,1000
THE RAINTREE,21,OCR,2003,99
THE SENSORIA,27,OCR,1000,1000
THE SERENNIA,15,RCR,1000,1000
THE SIERRA,10,CCR,1937,947
THE SILVER FIR,15,RCR,1000,1000
THE SOVEREIGN,15,RCR,1000,1000
THE SPRINGBLOOM,19,OCR,1995,99
THE TIER,12,RCR,1000,1000
THE TRILLIUM,9,CCR,1000,1000
THE VINES,14,OCR,1000,1000
THE WINDSOR,20,RCR,1000,1000
THE WOODGROVE,25,OCR,1996,99
THREE BALMORAL,10,CCR,1000,1000
TIARA,9,CCR,1000,1000
TIERRA VUE,15,OCR,1000,1000
TOMLINSON HEIGHTS,10,CCR,1000,1000
TREASURE PLACE,5,RCR,1000,1000
TREASURES @ G20,14,RCR,1000,1000
TRESALVEO,20,RCR,1000,1000
TRUSSVILLE,19,OCR,1000,1000
TURQUOISE,4,CCR,2007,99
URBAN SUITES,9,CCR,1000,1000
VALLEY PARK,10,CCR,1877,999
VERDURE,10,CCR,1000,1000
VERSILIA ON HAIG,15,RCR,1000,1000
VERTIS,15,RCR,1000,1000
VIENTO,14,RCR,1000,1000
VILLA BEGONIA,28,OCR,1994,99
VILLAS LAGUNA,16,OCR,1000,1000
VISIONCREST,9,CCR,1000,1000
VISTA PARK,5,RCR,1979,99
VOLARI,10,CCR,1000,1000
WATERFORD RESIDENCE,9,CCR,1841,999
WATERMARK ROBERTSON QUAY,9,CCR,1000,1000
WEST COAST GARDENS,5,OCR,1928,956
WILKIE APARTMENTS,9,CCR,1000,1000
WINDSOR PARK ESTATE,20,RCR,1000,1000
WOODGROVE CONDOMINIUM,25,OCR,1997,99
YEWTEE RESIDENCES,23,OCR,2006,99
YISHUN SAPPHIRE,27,OCR,1998,99
YONG SENG ESTATE,14,OCR,1000,1000
YUEN SING MANSION,14,RCR,1000,1000
# 1 LOFT,14,RCR,1000,1000
ALLSWORTH PARK,10,CCR,1885,999
AMANINDA,11,CCR,1000,1000
APOLLO GARDENS,16,OCR,1000,1000
ARDMORE II,10,CCR,1000,1000
ASCENTIA SKY,3,RCR,2008,99
AVA TOWERS,12,RCR,1000,1000
BALMORAL CREST,10,CCR,1000,1000
BEACON HEIGHTS,12,RCR,1882,999
BEDOK PARK,16,OCR,1000,1000
BLU CORAL,15,OCR,1000,1000
BREEZE BY THE EAST,16,OCR,1000,1000
CARDIFF RESIDENCE,19,OCR,2011,99
CASA FORTUNA,12,RCR,1000,1000
CASHEW VILLAS,23,OCR,1883,999
CAVENAGH GARDENS,9,CCR,1000,1000
CAVENAGH HOUSE,9,CCR,1000,1000
CENTRO RESIDENCES,20,OCR,2007,99
CHARLTON PARK,19,OCR,1000,1000
CHUAN TERRACE,19,OCR,1000,1000
COMFORT GARDEN,23,OCR,1000,1000
CORAL PARK,20,RCR,1000,1000
CRYSTAL RHU,15,RCR,1000,1000
D'BANYAN,27,OCR,1885,999
DALVEY COURT,10,CCR,1000,1000
DAWN VILLE,15,RCR,1000,1000
DE ROYALE,12,RCR,1000,1000
DEVONSHIRE 12,9,CCR,1000,1000
DUNMAN REGENCY,15,RCR,1000,1000
EASTVALE,18,OCR,1996,99
EASTWOOD CENTRE,16,OCR,1995,99
ECHELON,3,RCR,2012,99
ELIAS TERRACE,18,OCR,1881,999
ELIZABETH HEIGHTS,9,CCR,1000,1000
EMERALD GARDEN,1,RCR,1827,999
EMERY POINT,15,RCR,1000,1000
ENG KONG PARK,21,RCR,1000,1000
ESTE VILLA,28,OCR,1000,1000
ESTRIVILLAS,10,CCR,1000,1000
FERNHILL COURT,10,CCR,1000,1000
FLYNN PARK,5,RCR,1000,1000
FRAGRANT GARDENS,19,OCR,1000,1000
GALLERY FIFTEEN,12,RCR,1000,1000
GLENTREES,10,CCR,1885,999
GOLDHILL TOWERS,11,CCR,1000,1000
GRAND DUCHESS AT ST PATRICK'S,15,OCR,1000,1000
GRANGE HEIGHTS,9,CCR,1000,1000
HAIG ELEVEN,15,RCR,1000,1000
HENRY PARK,10,CCR,1000,1000
HIGH POINT,9,CCR,1000,1000
HILBRE28,19,OCR,1876,999
HILLVIEW RESIDENCE,23,OCR,1885,999
HOLLAND PEAK,10,CCR,1000,1000
HONG HENG MANSIONS,26,OCR,1000,1000
HORIZON RESIDENCES,5,RCR,1000,1000
HUA XIN COURT,15,OCR,1000,1000
IMPERIAL HEIGHTS,15,RCR,1000,1000
ISUITES @ PALM,19,OCR,1878,999
JADE MANSION,10,CCR,1000,1000
JADE RESIDENCES,19,OCR,1000,1000
KALLANG RIVERSIDE,12,RCR,1000,1000
KATONG GARDENS,15,RCR,1000,1000
KEMAMAN POINT,12,RCR,1000,1000
KENG LEE COURT,8,RCR,1000,1000
KENTVIEW PARK,5,RCR,1000,1000
KISMIS COURT,21,RCR,1981,99
LAKESIDE TOWER,22,OCR,1975,99
LAUREL TREE,23,OCR,1000,1000
LE LOYANG,17,OCR,1885,999
LE M RESIDENCE,15,OCR,1000,1000
LE NOUVEL ARDMORE,10,CCR,1000,1000
LEICESTER SUITES,13,RCR,1000,1000
LOFT @ NATHAN,10,CCR,1000,1000
LUCKY HILL,16,OCR,1878,999
LUMIERE,2,CCR,2006,99
LUTHERAN TOWERS,10,CCR,1974,103
MACKENZIE REGENCY,9,CCR,1000,1000
MALVERN SPRINGS,15,RCR,1000,1000
MANDALAY MANSION,11,CCR,1000,1000
MANDALE HEIGHTS,11,CCR,1000,1000
MARTIN NO 38,9,CCR,1000,1000
MEDALLION,13,OCR,1000,1000
MEIER SUITES,15,RCR,1000,1000
MEYER RESIDENCE,15,RCR,1000,1000
MOONSTONE VIEW,12,RCR,1000,1000
MOUNTBATTEN LODGE,15,RCR,1000,1000
MURANO,5,RCR,1000,1000
NATURE MANSIONS,15,OCR,1000,1000
NINETEEN SHELFORD ROAD,11,CCR,1000,1000
NOVENA SUITES,11,CCR,1000,1000
OASIS @ ELIAS,18,OCR,2008,99
OASIS @ MULBERRY,13,RCR,1000,1000
OCEAN 8,4,CCR,2005,99
OEI TIONG HAM PARK,10,CCR,1000,1000
OKIO,12,RCR,1000,1000
OLEANAS RESIDENCE,9,CCR,1000,1000
OLINA LODGE,10,CCR,1000,1000
ONE DUCHESS,10,CCR,1875,999
ONE SURIN,19,OCR,1000,1000
ORCHARD SCOTTS,9,CCR,2001,99
OXFORD SUITES,8,RCR,1000,1000
PACIFIC MANSION,9,CCR,1000,1000
PALAZZETTO,15,RCR,1000,1000
PALM LOFT,15,RCR,1000,1000
PATERSON RESIDENCE,9,CCR,1000,1000
PATERSON SUITES,9,CCR,1000,1000
QUEENSWAY TOWER,3,RCR,1000,1000
R MAISON,13,OCR,1000,1000
REGENT VILLAS,10,CCR,1991,99
RESIDENCES AT 338A,9,CCR,1000,1000
RITZ @ FARRER,8,RCR,1000,1000
RIVER ISLES,19,OCR,2012,99
RIVERWALK APARTMENTS,1,RCR,1980,99
RIZ HAVEN,17,OCR,1938,946
ROSE MAISON,15,RCR,1000,1000
ROSEVALE,11,CCR,1000,1000
SANCTUARY @ 813,19,OCR,1000,1000
SHELFORD SUITES,11,CCR,1000,1000
SHERWOOD TOWER,21,RCR,1976,99
SIMS EDGE,14,RCR,1000,1000
ST THOMAS VILLE,9,CCR,1000,1000
SUMMER GARDENS,16,OCR,1995,99
SUNHAVEN,16,OCR,1000,1000
SUNNYVALE RESIDENCES,15,OCR,1000,1000
SUNSHINE GROVE,19,OCR,1000,1000
SYCAMORE TREE,15,RCR,1000,1000
TANGLIN HILL CONDOMINIUM,10,CCR,1000,1000
THE ALCOVE,14,RCR,2000,99
THE AMBRA,15,OCR,1000,1000
THE ANSLEY,11,CCR,1000,1000
THE ARRIS,2,RCR,1000,1000
THE BALE,15,OCR,1000,1000
THE BALMORAL,10,CCR,1000,1000
THE BENCOOLEN,7,RCR,1995,99
THE CAPE,15,RCR,1000,1000
THE COTZ,15,OCR,1000,1000
THE DRAYCOTT,10,CCR,1000,1000
THE GLYNDEBOURNE,11,CCR,1000,1000
THE IMPERIAL,9,CCR,1000,1000
THE INSPIRA,9,CCR,1000,1000
THE JADE,23,OCR,2001,99
THE LEVELZ,10,CCR,1000,1000
THE LINE @ TANJONG RHU,15,RCR,1000,1000
THE OLD HOUSE,19,OCR,1000,1000
THE PLAZA,7,CCR,1968,99
THE SERENADE @ HOLLAND,10,CCR,2001,99
THE SHAUGHNESSY,27,OCR,2001,99
THE TREELINE,15,OCR,1000,1000
THE TROPIC GARDENS,16,OCR,1000,1000
THE URBANITE,8,RCR,1000,1000
THE VESTA,15,OCR,1000,1000
THE WATERINA,14,RCR,1000,1000
THE WHITLEY RESIDENCES,11,CCR,1000,1000
THE YARDLEY,19,OCR,1000,1000
THOMSON VIEW CONDOMINIUM,20,RCR,1975,99
TIVOLI GRANDE,15,RCR,1000,1000
TOH ESTATE,17,OCR,1000,1000
UE SQUARE,9,CCR,1953,929
URBAN EDGE @ HOLLAND V,10,CCR,1000,1000
V ON SHENTON,1,CCR,2011,99
VENEZIO,16,OCR,1000,1000
VERSAILLES,15,RCR,1000,1000
VICTORY HEIGHTS,12,RCR,1000,1000
VILLAS AT KEW,16,OCR,1994,99
VIVA VISTA,5,RCR,1000,1000
WATTEN ESTATE CONDOMINIUM,11,CCR,1000,1000
ADRIA,11,CCR,1000,1000
AMBER SKYE,15,RCR,1000,1000
ASTON RESIDENCE,17,OCR,1938,946
ASTOR GREEN,21,RCR,1991,99
BANYAN PARK,5,RCR,1000,1000
BLISS@KOVAN,19,OCR,1000,1000
BOON TECK TOWER,12,RCR,1000,1000
BUTTERWORTH 33,15,RCR,1000,1000
CANARY VILLE,15,OCR,1000,1000
CARLISLE COURT,8,RCR,1000,1000
CASA CAIRNHILL,9,CCR,1000,1000
CAVAN SUITES,8,RCR,1000,1000
CELESTIA,15,RCR,1000,1000
CHARLTON GARDEN,19,OCR,1000,1000
CHESTNUT RESIDENCES,23,OCR,1882,999
CHIP THYE GARDEN,20,OCR,1000,1000
CHUAN VILLAS,19,OCR,1996,99
CONCOURSE SKYLINE,7,RCR,2008,99
CONDOMINIUM DEVELOPMENT,10,RCR,1000,1000
COSTA ESTE,15,OCR,1000,1000
CROWN CENTRE,10,CCR,1000,1000
D' KENARIS,28,OCR,1879,999
D'PAVILION,19,OCR,1000,1000
D'SUNRISE,15,RCR,1000,1000
DAHLIA PARK CONDOMINIUM,17,OCR,1000,1000
DE LENTE,10,CCR,1000,1000
DUET,10,CCR,1000,1000
DUNEARN ESTATE,11,CCR,1000,1000
DUO RESIDENCES,7,CCR,2011,99
E-SPACE,15,OCR,1000,1000
EAST COAST HILL,16,OCR,1000,1000
EASTSIDE LOFT,15,RCR,1000,1000
EMERALD PARK,3,RCR,1991,99
EON SHENTON,2,CCR,2011,99
ESPA,23,OCR,1882,999
EVERITT EDGE,15,RCR,1000,1000
FAMILIE MANSIONS,14,RCR,1000,1000
FLORA EAST,15,RCR,1000,1000
FLORIDA PARK,28,OCR,1000,1000
FORTUNE PARK,19,OCR,1000,1000
FREESIA WOODS,21,OCR,1000,1000
FRUITION,15,RCR,1000,1000
GALLERY 8,15,RCR,1000,1000
GOLDEN HEIGHTS,19,OCR,1000,1000
GOODWOOD GRAND,10,CCR,1000,1000
GRAND CHATEAU,21,RCR,1000,1000
GRANDVIEW SUITES,14,RCR,1000,1000
GROSVENOR VIEW,14,OCR,1000,1000
HIJAUAN,9,CCR,1000,1000
JANSEN SPRING,19,OCR,1878,999
JAYA TOWER,10,CCR,1000,1000
JERVOIS LODGE,10,CCR,1000,1000
JOOL SUITES,8,RCR,1000,1000
JUPITER 18,15,RCR,1000,1000
KATONG VILLE,15,RCR,1000,1000
KELULUT HILL,28,OCR,1879,999
KENTISH LODGE,8,RCR,1995,99
KILAT CENTRE,21,RCR,1000,1000
KING'S ARCADE,10,CCR,1000,1000
KOVAN APARTMENTS,19,OCR,1000,1000
LA CRYSTAL,9,CCR,1000,1000
LAKE GRANDE,22,OCR,2015,99
LAKESIDE GROVE,22,OCR,1996,99
LANDBAY CONDOMINIUM,16,OCR,1000,1000
LE SOMME,8,RCR,1000,1000
LIMAU VILLAS,16,OCR,1996,99
LION TOWERS,11,CCR,1000,1000
MACKENZIE 88,9,CCR,1000,1000
MARINA BAY SUITES,1,CCR,2007,99
MARTINA MANSIONS,10,CCR,1000,1000
MIMOSA TERRACE,28,OCR,1000,1000
MODA,15,RCR,1000,1000
MORO MANSIONS,14,RCR,1000,1000
MOUNT SOPHIA SUITES,9,CCR,1000,1000
NATHAN SUITES,10,CCR,1000,1000
NESS,14,RCR,1000,1000
NEWTON 18,11,CCR,1000,1000
NEWTON 21,11,CCR,1000,1000
NEWTON SUITES,11,CCR,1000,1000
NIM GARDENS,28,OCR,1000,1000
NORTHWAVE,25,OCR,2015,99
NOVENA HILL,11,CCR,1000,1000
OCEAN FRONT SUITES,17,OCR,1937,946
ONE TREE HILL MANSIONS,10,CCR,1973,99
ORCHARD BEL AIR,10,CCR,1980,99
PARK RESIDENCES KOVAN,19,OCR,1000,1000
PAVILION 11,11,CCR,1000,1000
PAVILION PARK,23,OCR,1000,1000
PEOPLE'S PARK CENTRE,1,RCR,1970,99
PHOENIX HEIGHTS,23,OCR,1000,1000
POETS VILLAS,26,OCR,2010,99
PONGGOL PARK,19,OCR,1000,1000
PRIMEDGE,14,RCR,1000,1000
Q BAY RESIDENCES,18,OCR,2012,99
RESIDENCES @ JANSEN,19,OCR,1876,999
RICHMOND PARK,9,CCR,1000,1000
RIDGE COURT,13,RCR,1000,1000
RIVEREDGE,15,RCR,2004,99
